cell_id,sleep_rate,dataset,seed,test_accuracy,train_accuracy,val_accuracy,final_test_phi,sleep_window,num_steps,check_sleep_interval,sleep_decay_rate,elapsed_s,returncode
73,0.3,kmnist,45,0.15053763440860216,0.1777150916784203,0.20224719101123595,,1050,100,3500,0.9999858669215068,439.45762,0
74,0.3,kmnist,46,0.09289617486338798,0.15083798882681565,0.1111111111111111,,1050,100,3500,0.9999858669215068,259.770998,0
75,0.3,notmnist,42,0.6813186813186813,0.7747252747252747,0.5901639344262295,,1050,100,3500,0.9999858669215068,284.042152,0
76,0.3,notmnist,43,0.6521739130434783,0.7704225352112676,0.601123595505618,,1050,100,3500,0.9999858669215068,555.370504,0
77,0.3,notmnist,44,0.632768361581921,0.8,0.5989010989010989,,1050,100,3500,0.9999858669215068,359.067342,0
78,0.3,notmnist,45,0.68,0.7625698324022346,0.6,,1050,100,3500,0.9999858669215068,376.764445,0
79,0.3,notmnist,46,0.6256983240223464,0.7168508287292817,0.5494505494505495,,1050,100,3500,0.9999858669215068,268.169343,0
80,0.4,mnist,42,0.12571428571428572,0.12586445366528354,0.10497237569060773,,1400,100,3500,0.999989400172404,416.653698,0
81,0.4,mnist,43,0.40217391304347827,0.3848314606741573,0.33146067415730335,,1400,100,3500,0.999989400172404,314.421348,0
82,0.4,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,1400,100,3500,0.999989400172404,328.193147,0
83,0.4,mnist,45,0.11413043478260869,0.1155433287482806,0.12637362637362637,,1400,100,3500,0.999989400172404,789.270835,0
84,0.4,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,1400,100,3500,0.999989400172404,657.11759,0
85,0.4,fmnist,42,0.5857988165680473,0.6638772663877266,0.5333333333333333,,1400,100,3500,0.999989400172404,332.201094,0
86,0.4,fmnist,43,0.6057142857142858,0.7111416781292985,0.5274725274725275,,1400,100,3500,0.999989400172404,371.643079,0
87,0.4,fmnist,44,0.5277777777777778,0.5944827586206897,0.5,,1400,100,3500,0.999989400172404,313.908296,0
88,0.4,fmnist,45,0.17391304347826086,0.19305555555555556,0.2541436464088398,,1400,100,3500,0.999989400172404,259.037143,0
89,0.4,fmnist,46,0.5139664804469274,0.6174033149171271,0.521978021978022,,1400,100,3500,0.999989400172404,269.896616,0
90,0.4,kmnist,42,0.4891304347826087,0.5915300546448088,0.4673913043478261,,1400,100,3500,0.999989400172404,272.740941,0
91,0.4,kmnist,43,0.5340909090909091,0.5855354659248957,0.5333333333333333,,1400,100,3500,0.999989400172404,423.916091,0
92,0.4,kmnist,44,0.5,0.6364902506963789,0.4888888888888889,,1400,100,3500,0.999989400172404,274.68168,0
93,0.4,kmnist,45,0.1989247311827957,0.21297602256699577,0.21910112359550563,,1400,100,3500,0.999989400172404,298.895346,0
94,0.4,kmnist,46,0.4644808743169399,0.5153631284916201,0.4888888888888889,,1400,100,3500,0.999989400172404,481.03078,0
95,0.4,notmnist,42,0.5824175824175825,0.7074175824175825,0.6174863387978142,,1400,100,3500,0.999989400172404,325.331149,0
96,0.4,notmnist,43,0.5815217391304348,0.6957746478873239,0.5224719101123596,,1400,100,3500,0.999989400172404,318.373025,0
97,0.4,notmnist,44,0.632768361581921,0.7489655172413793,0.532967032967033,,1400,100,3500,0.999989400172404,318.691525,0
98,0.4,notmnist,45,0.6057142857142858,0.7053072625698324,0.5888888888888889,,1400,100,3500,0.999989400172404,440.508352,0
99,0.4,notmnist,46,0.5977653631284916,0.6671270718232044,0.5769230769230769,,1400,100,3500,0.999989400172404,333.178576,0
100,0.5,mnist,42,0.12571428571428572,0.12586445366528354,0.10497237569060773,,1750,100,3500,0.9999915201289347,455.358625,0
101,0.5,mnist,43,0.08152173913043478,0.125,0.09550561797752809,,1750,100,3500,0.9999915201289347,498.522564,0
102,0.5,mnist,44,0.12429378531073447,0.1149584487534626,0.13812154696132597,,1750,100,3500,0.9999915201289347,669.862677,0
103,0.5,mnist,45,0.11413043478260869,0.1155433287482806,0.12637362637362637,,1750,100,3500,0.9999915201289347,385.661264,0
104,0.5,mnist,46,0.13043478260869565,0.11618257261410789,0.11049723756906077,,1750,100,3500,0.9999915201289347,632.813617,0
105,0.5,fmnist,42,0.591715976331361,0.6220362622036262,0.4666666666666667,,1750,100,3500,0.9999915201289347,787.549319,0
106,0.5,fmnist,43,0.6,0.7455295735900963,0.5659340659340659,,1750,100,3500,0.9999915201289347,308.042759,0
107,0.5,fmnist,44,0.5555555555555556,0.6013793103448276,0.47802197802197804,,1750,100,3500,0.9999915201289347,407.654208,0
108,0.5,fmnist,45,0.483695652173913,0.6069444444444444,0.47513812154696133,,1750,100,3500,0.9999915201289347,830.390831,0
109,0.5,fmnist,46,0.5418994413407822,0.5469613259668509,0.4835164835164835,,1750,100,3500,0.9999915201289347,306.965642,0
110,0.5,kmnist,42,0.45108695652173914,0.5683060109289617,0.40217391304347827,,1750,100,3500,0.9999915201289347,325.702744,0
111,0.5,kmnist,43,0.5397727272727273,0.6063977746870653,0.55,,1750,100,3500,0.9999915201289347,349.706184,0
112,0.5,kmnist,44,0.5494505494505495,0.6086350974930362,0.4166666666666667,,1750,100,3500,0.9999915201289347,419.045851,0
113,0.5,kmnist,45,0.5053763440860215,0.6290550070521862,0.5674157303370787,,1750,100,3500,0.9999915201289347,321.251426,0
114,0.5,kmnist,46,0.4262295081967213,0.6061452513966481,0.55,,1750,100,3500,0.9999915201289347,349.433338,0
115,0.5,notmnist,42,0.6373626373626373,0.6923076923076923,0.5628415300546448,,1750,100,3500,0.9999915201289347,473.698426,0
116,0.5,notmnist,43,0.5434782608695652,0.6985915492957746,0.5674157303370787,,1750,100,3500,0.9999915201289347,435.549298,0
